"product_type","year","month","export_volume"
"Red meats & products","2018","january",375.4404
"Red meats & products","2018","february",362.0759
"Red meats & products","2018","march",390.6767
"Red meats & products","2018","april",398.2819
"Red meats & products","2018","may",384.0097
"Red meats & products","2018","june",362.8576
"Red meats & products","2018","july",356.4711
"Red meats & products","2018","august",365.3417
"Red meats & products","2018","september",345.0546
"Red meats & products","2018","october",391.198
"Red meats & products","2018","november",389.1827
"Red meats & products","2018","december",391.6292
"Poultry meats","2018","january",285.4537
"Poultry meats","2018","february",286.6564
"Poultry meats","2018","march",310.8032
"Poultry meats","2018","april",302.3527
"Poultry meats","2018","may",282.6066
"Poultry meats","2018","june",293.6011
"Poultry meats","2018","july",300.9603
"Poultry meats","2018","august",319.9753
"Poultry meats","2018","september",297.5752
"Poultry meats","2018","october",348.1514
"Poultry meats","2018","november",316.7931
"Poultry meats","2018","december",291.2102
"Nonfat dry milk","2018","january",50.358
"Nonfat dry milk","2018","february",67.6593
"Nonfat dry milk","2018","march",72.2129
"Nonfat dry milk","2018","april",80.397
"Nonfat dry milk","2018","may",73.9789
"Nonfat dry milk","2018","june",60.2226
"Nonfat dry milk","2018","july",58.3925
"Nonfat dry milk","2018","august",65.0282
"Nonfat dry milk","2018","september",59.1391
"Nonfat dry milk","2018","october",64.7281
"Nonfat dry milk","2018","november",51.6424
"Nonfat dry milk","2018","december",52.3688
"Wheat","2018","january",1788.915
"Wheat","2018","february",1396.568
"Wheat","2018","march",2120.193
"Wheat","2018","april",1935.992
"Wheat","2018","may",1805.076
"Wheat","2018","june",1530.211
"Wheat","2018","july",1765.978
"Wheat","2018","august",2089.083
"Wheat","2018","september",1820.53
"Wheat","2018","october",1904.262
"Wheat","2018","november",1719.826
"Wheat","2018","december",2237.159
"Rice","2018","january",234.2386
"Rice","2018","february",320.0716
"Rice","2018","march",347.0741
"Rice","2018","april",215.2111
"Rice","2018","may",325.7497
"Rice","2018","june",184.5629
"Rice","2018","july",212.7475
"Rice","2018","august",223.7076
"Rice","2018","september",181.5476
"Rice","2018","october",200.9077
"Rice","2018","november",373.8209
"Rice","2018","december",340.3292
"Coarse grains","2018","january",4478.3881
"Coarse grains","2018","february",4498.375
"Coarse grains","2018","march",7484.5924
"Coarse grains","2018","april",8505.956
"Coarse grains","2018","may",7967.152
"Coarse grains","2018","june",7170.8263
"Coarse grains","2018","july",6874.7403
"Coarse grains","2018","august",6080.4263
"Coarse grains","2018","september",5342.4329
"Coarse grains","2018","october",5805.8024
"Coarse grains","2018","november",5343.244
"Coarse grains","2018","december",4504.082
"Corn","2018","january",3839.485
"Corn","2018","february",3768.72
"Corn","2018","march",6489.559
"Corn","2018","april",7712.105
"Corn","2018","may",7868.861
"Corn","2018","june",7117.203
"Corn","2018","july",6766.268
"Corn","2018","august",5842.626
"Corn","2018","september",5255.527
"Corn","2018","october",5694.572
"Corn","2018","november",5104.694
"Corn","2018","december",4345.014
"Sorghum","2018","january",630.737
"Sorghum","2018","february",718.448
"Sorghum","2018","march",985.577
"Sorghum","2018","april",787.437
"Sorghum","2018","may",91.361
"Sorghum","2018","june",42.928
"Sorghum","2018","july",95.608
"Sorghum","2018","august",226.811
"Sorghum","2018","september",73.155
"Sorghum","2018","october",103.669
"Sorghum","2018","november",227.512
"Sorghum","2018","december",149.277
"Soybeans","2018","january",5762.8568
"Soybeans","2018","february",4212.825
"Soybeans","2018","march",3238.5679
"Soybeans","2018","april",2167.366
"Soybeans","2018","may",2990.7948
"Soybeans","2018","june",3255.7831
"Soybeans","2018","july",3426.6052
"Soybeans","2018","august",3367.5099
"Soybeans","2018","september",3237.3094
"Soybeans","2018","october",5580.1459
"Soybeans","2018","november",5066.9199
"Soybeans","2018","december",4105.8215
"Oil meal","2018","january",1086.4213
"Oil meal","2018","february",1138.9349
"Oil meal","2018","march",1296.5357
"Oil meal","2018","april",1217.3502
"Oil meal","2018","may",1221.9519
"Oil meal","2018","june",1358.2531
"Oil meal","2018","july",1148.5107
"Oil meal","2018","august",1235.569
"Oil meal","2018","september",1064.9152
"Oil meal","2018","october",1015.1639
"Oil meal","2018","november",1061.6941
"Oil meal","2018","december",1095.879
"Vegetable oils","2018","january",206.8375
"Vegetable oils","2018","february",208.234
"Vegetable oils","2018","march",221.2779
"Vegetable oils","2018","april",212.8028
"Vegetable oils","2018","may",343.6462
"Vegetable oils","2018","june",220.9923
"Vegetable oils","2018","july",206.3144
"Vegetable oils","2018","august",201.0162
"Vegetable oils","2018","september",161.2383
"Vegetable oils","2018","october",161.143
"Vegetable oils","2018","november",224.3412
"Vegetable oils","2018","december",167.2205
"Fruits, fresh","2018","january",228.764
"Fruits, fresh","2018","february",254.7862
"Fruits, fresh","2018","march",279.2427
"Fruits, fresh","2018","april",234.919
"Fruits, fresh","2018","may",238.2087
"Fruits, fresh","2018","june",246.1028
"Fruits, fresh","2018","july",248.0778
"Fruits, fresh","2018","august",217.0808
"Fruits, fresh","2018","september",215.8668
"Fruits, fresh","2018","october",225.1164
"Fruits, fresh","2018","november",252.6079
"Fruits, fresh","2018","december",193.1962
"Fruits, prepared or preserved","2018","january",47.7264
"Fruits, prepared or preserved","2018","february",48.733
"Fruits, prepared or preserved","2018","march",56.0987
"Fruits, prepared or preserved","2018","april",52.6104
"Fruits, prepared or preserved","2018","may",52.2951
"Fruits, prepared or preserved","2018","june",51.9355
"Fruits, prepared or preserved","2018","july",47.9556
"Fruits, prepared or preserved","2018","august",48.7038
"Fruits, prepared or preserved","2018","september",47.1334
"Fruits, prepared or preserved","2018","october",48.9287
"Fruits, prepared or preserved","2018","november",46.2793
"Fruits, prepared or preserved","2018","december",43.6247
"Fruit juices","2018","january",47.5646
"Fruit juices","2018","february",45.2457
"Fruit juices","2018","march",58.2504
"Fruit juices","2018","april",51.5485
"Fruit juices","2018","may",51.1371
"Fruit juices","2018","june",55.1373
"Fruit juices","2018","july",48.0213
"Fruit juices","2018","august",44.4243
"Fruit juices","2018","september",47.4055
"Fruit juices","2018","october",44.6031
"Fruit juices","2018","november",45.8458
"Fruit juices","2018","december",42.461
"Vegetables, fresh","2018","january",190.649
"Vegetables, fresh","2018","february",184.1345
"Vegetables, fresh","2018","march",210.2964
"Vegetables, fresh","2018","april",208.3506
"Vegetables, fresh","2018","may",239.7919
"Vegetables, fresh","2018","june",233.003
"Vegetables, fresh","2018","july",196.7951
"Vegetables, fresh","2018","august",177.887
"Vegetables, fresh","2018","september",174.3935
"Vegetables, fresh","2018","october",189.793
"Vegetables, fresh","2018","november",207.0475
"Vegetables, fresh","2018","december",213.7621
"Vegetables, prepared or preserved","2018","january",190.1895
"Vegetables, prepared or preserved","2018","february",196.5591
"Vegetables, prepared or preserved","2018","march",229.5036
"Vegetables, prepared or preserved","2018","april",234.2628
"Vegetables, prepared or preserved","2018","may",237.8007
"Vegetables, prepared or preserved","2018","june",216.2109
"Vegetables, prepared or preserved","2018","july",200.0684
"Vegetables, prepared or preserved","2018","august",200.9533
"Vegetables, prepared or preserved","2018","september",207.7332
"Vegetables, prepared or preserved","2018","october",215.1764
"Vegetables, prepared or preserved","2018","november",230.6654
"Vegetables, prepared or preserved","2018","december",242.0963
"Nuts & preparations","2018","january",137.2996
"Nuts & preparations","2018","february",154.6352
"Nuts & preparations","2018","march",166.8057
"Nuts & preparations","2018","april",136.9894
"Nuts & preparations","2018","may",122.7452
"Nuts & preparations","2018","june",111.5922
"Nuts & preparations","2018","july",106.5863
"Nuts & preparations","2018","august",103.5289
"Nuts & preparations","2018","september",126.814
"Nuts & preparations","2018","october",206.0846
"Nuts & preparations","2018","november",247.8701
"Nuts & preparations","2018","december",192.8902
"Cotton & linters","2018","january",359.6655
"Cotton & linters","2018","february",433.1098
"Cotton & linters","2018","march",509.4476
"Cotton & linters","2018","april",480.3702
"Cotton & linters","2018","may",434.7297
"Cotton & linters","2018","june",311.307
"Cotton & linters","2018","july",237.3773
"Cotton & linters","2018","august",178.6088
"Cotton & linters","2018","september",156.1482
"Cotton & linters","2018","october",133.2588
"Cotton & linters","2018","november",149.8868
"Cotton & linters","2018","december",213.1728
"Major bulk","2018","january",12631.6212
"Major bulk","2018","february",10876.4547
"Major bulk","2018","march",13728.389
"Major bulk","2018","april",13320.7305
"Major bulk","2018","may",13531.9827
"Major bulk","2018","june",12469.4493
"Major bulk","2018","july",12529.5931
"Major bulk","2018","august",11953.5031
"Major bulk","2018","september",10746.711
"Major bulk","2018","october",13633.4878
"Major bulk","2018","november",12658.7224
"Major bulk","2018","december",11408.2733
